 p_name       ,       'phy01',      'phy02',      'green',      'phy04',      'phy05',      'phy06',     'diatom',     'crypto',   'crypto 2',      'phy09',      'phy10',      'phy11'
 p_initial    ,            10,           10,         0.04,           10,           10,           10,          8.4,          0.4,          2.4,           10,           10,           10
 p0           ,          0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03
 w_p          ,             0,            0,        -0.01,            0,            0,            0,       -0.600,       -0.020,            0,            0,            0,            0
 Xcc          ,            50,           50,           40,           50,           50,           50,           40,           40,           40,           50,           50,           50
 R_growth     ,           1.1,          1.1,          0.7,          1.1,          1.1,          1.1,          3.0,          1.5,          0.7,          1.1,          1.1,          1.1
 fT_Method    ,             1,            1,            0,            1,            1,            1,            0,            0,            0,            1,            1,            1
 theta_growth ,          1.06,         1.06,         1.08,         1.06,         1.05,         1.06,         1.05,         1.09,         1.06,         1.06,         1.06,         1.06
 T_std        ,            20,           20,           20,           20,           20,           20,           15,           15,           20,           20,           20,           20
 T_opt        ,            28,           28,           27,           28,           25,           28,           20,           24,           28,           28,           28,           28
 T_max        ,            35,           35,           33,           35,           31,           35,           31,           36,           34,           35,           35,           35
 lightModel   ,             0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
 I_K          ,            25,           25,           25,           25,           25,           25,           10,           10,           25,           25,           25,           25
 I_S          ,           100,          100,          100,          100,          100,          100,          100,          100,          100,          100,          100,          100
 KePHY        ,         0.005,        0.005,        0.005,        0.005,        0.005,        0.005,        0.001,        0.001,        0.005,        0.005,        0.005,        0.005
 f_pr         ,         0.005,        0.005,        0.005,        0.005,        0.005,        0.005,        0.002,        0.002,        0.005,        0.005,        0.005,        0.005
 R_resp       ,          0.08,         0.08,        0.012,         0.08,         0.08,         0.08,         0.12,         0.09,        0.012,         0.08,         0.08,         0.08
 theta_resp   ,          1.05,         1.05,         1.06,         1.05,         1.05,         1.05,         1.07,         1.07,         1.05,         1.05,         1.05,         1.05
 k_fres       ,           0.6,          0.6,          0.6,          0.6,          0.6,          0.6,          0.6,          0.6,          0.6,          0.6,          0.6,          0.6
 k_fdom       ,          0.05,         0.05,         0.05,         0.05,         0.05,         0.05,         0.05,         0.05,         0.05,         0.05,         0.05,         0.05
 salTol       ,             0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
 S_bep        ,             2,            2,            2,            2,            2,            2,            2,            2,            2,            2,            2,            2
 S_maxsp      ,            35,           35,           35,           35,           35,           35,           35,           35,           35,           35,           35,           35
 S_opt        ,             1,            1,            1,            1,            1,            1,            1,            1,            1,            1,            1,            1
 simDINUptake ,             1,            1,            1,            1,            1,            1,            1,            1,            1,            1,            1,            1
 simDONUptake ,             0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
 simNFixation ,             0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
 simINDynamics,             2,            2,            2,            2,            2,            2,            2,            2,            2,            2,            2,            2
 N_o          ,          0.25,         0.25,         0.25,         0.25,         0.25,         0.25,         0.25,         0.25,         0.25,         0.25,         0.25,         0.25
 K_N          ,             4,            4,         3.21,            4,            4,            4,         3.57,         3.57,         3.21,            4,            4,            4
 X_ncon       ,         0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035
 X_nmin       ,          0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02
 X_nmax       ,          0.07,         0.07,         0.07,         0.07,         0.07,         0.07,         0.07,         0.07,         0.07,         0.07,         0.07,         0.07
 R_nuptake    ,          0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02,         0.02
 k_nfix       ,           0.7,          0.7,          0.7,          0.7,          0.7,          0.7,          0.7,          0.7,          0.7,          0.7,          0.7,          0.7
 R_nfix       ,         0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035,        0.035
 simDIPUptake ,             1,            1,            1,            1,            1,            1,            1,            1,            1,            1,            1,            1
 simIPDynamics,             2,            2,            2,            2,            2,            2,            2,            2,            2,            2,            2,            2
 P_0          ,          0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03,         0.03
 K_P          ,          0.15,         0.15,         0.16,         0.15,         0.15,         0.15,         0.16,         0.16,         0.16,         0.15,         0.15,         0.15
 X_pcon       ,        0.0015,       0.0015,       0.0015,       0.0015,       0.0015,       0.0015,       0.0015,       0.0015,       0.0015,       0.0015,       0.0015,       0.0015
 X_pmin       ,        0.0005,       0.0005,       0.0005,       0.0005,       0.0005,       0.0005,       0.0005,       0.0005,       0.0005,       0.0005,       0.0005,       0.0005
 X_pmax       ,         0.005,        0.005,        0.005,        0.005,        0.005,        0.005,        0.005,        0.005,        0.005,        0.005,        0.005,        0.005
 R_puptake    ,         0.001,        0.001,        0.001,        0.001,        0.001,        0.001,        0.001,        0.001,        0.001,        0.001,        0.001,        0.001
 simSiUptake  ,             0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0
 Si_0         ,           0.3,          0.3,          0.3,          0.3,          0.3,          0.3,          0.3,          0.3,          0.3,          0.3,          0.3,          0.3
 K_Si         ,           2.5,          2.5,          2.5,          2.5,          2.5,          2.5,          2.5,          2.5,          2.5,          2.5,          2.5,          2.5
 X_sicon      ,           0.4,          0.4,          0.4,          0.4,          0.4,          0.4,          0.4,          0.4,          0.4,          0.4,          0.4,          0.4
